Projection using October 2024 data (data sent in January 2025),UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_annual_contracted,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,UDAs_delivered_month,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,percentage contracted UDAs delivered,
,,,,,,,,,,,,,,,,,,,,,,,,,21.00,21.00,20.00,23.00,21.00,21.00,23.00,21.00,20.00,22.00,20.00,21.00,254.00
geography_name,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,annual
Devon ICB,1721082.00,1673394.00,1683758.00,1652945.00,1604057.00,1602781.00,1593431.00,1592239.00,1567508.00,1567508.00,1567508.00,1567508.00,81574.00,79785.00,75317.00,80450.00,71033.00,72348.00,81329.00,74521.00,60947.00,72548.00,70392.00,73665.00,0.57,0.58,0.57,0.54,0.54,0.55,0.56,0.57,0.49,0.53,0.57,0.57,0.57
Dorset ICB,1125056.00,1111065.00,1122500.00,1122500.00,1108554.00,1096062.00,1103679.00,1082079.00,1089497.00,1089497.00,1089497.00,1089497.00,61076.00,61110.00,57723.00,64211.00,58254.00,58918.00,68765.00,62575.00,52515.00,55099.00,56169.00,60337.00,0.66,0.67,0.65,0.63,0.64,0.65,0.69,0.70,0.61,0.58,0.65,0.67,0.66
Frimley ICB,946208.00,946208.00,956790.00,962312.00,962312.00,963270.00,966270.00,959214.00,964507.00,964507.00,964507.00,964507.00,73289.00,73842.00,70313.00,77360.00,68665.00,70656.00,82797.00,76146.00,67094.00,76207.00,77091.00,78373.00,0.94,0.94,0.93,0.89,0.86,0.89,0.95,0.96,0.88,0.91,1.02,0.98,0.93
Gloucestershire ICB,710284.00,713940.00,729038.00,729463.00,721243.00,691214.00,719639.00,712931.00,699909.00,699909.00,699909.00,699909.00,44890.00,43427.00,39520.00,44859.00,43262.00,41378.00,47266.00,47422.00,38119.00,43900.00,43558.00,44859.00,0.76,0.74,0.69,0.68,0.73,0.72,0.73,0.80,0.69,0.72,0.79,0.78,0.75
Greater Manchester ICB,4837651.00,4811772.00,4877034.00,4879293.00,4910559.00,4910559.00,4910580.00,4909657.00,4851714.00,4851714.00,4851714.00,4851714.00,388797.00,395791.00,362613.00,406384.00,357113.00,378446.00,442690.00,411842.00,344847.00,414456.00,414771.00,430662.00,0.97,0.99,0.94,0.92,0.88,0.93,1.00,1.01,0.90,0.99,1.09,1.07,0.98
Hampshire And Isle Of Wight ICB,2718708.00,2586909.00,2628009.00,2614449.00,2526395.00,2567069.00,2547112.00,2527987.00,2538493.00,2538493.00,2538493.00,2538493.00,160214.00,162402.00,155890.00,174735.00,159714.00,163175.00,188545.00,175100.00,155976.00,175239.00,177784.00,184803.00,0.71,0.76,0.75,0.74,0.76,0.77,0.82,0.84,0.78,0.80,0.89,0.88,0.80
Herefordshire And Worcestershire ICB,1013333.00,1039696.00,1027922.00,1045122.00,1046122.00,1045122.00,1045122.00,1045122.00,1045122.00,1045122.00,1045122.00,1045122.00,63302.00,66494.00,62140.00,71039.00,68185.00,66667.00,77198.00,71454.00,58427.00,68392.00,68420.00,69931.00,0.76,0.77,0.77,0.75,0.79,0.77,0.82,0.83,0.71,0.76,0.83,0.81,0.78
Hertfordshire And West Essex ICB,2101239.00,2112216.00,2115020.00,2115059.00,2116257.00,2114603.00,2106825.00,2104220.00,2102206.00,2102206.00,2102206.00,2102206.00,169953.00,167258.00,152084.00,175958.00,169209.00,166009.00,186017.00,170714.00,151593.00,176264.00,184041.00,183735.00,0.98,0.96,0.91,0.92,0.97,0.95,0.98,0.98,0.92,0.97,1.11,1.06,0.98
Humber And North Yorkshire ICB,2426851.00,2395726.00,2351029.00,2355807.00,2349046.00,2360860.00,2379552.00,2378772.00,2382855.00,2382855.00,2382855.00,2382855.00,164788.00,162280.00,152230.00,171453.00,157881.00,155423.00,178515.00,169499.00,142177.00,174456.00,168997.00,181503.00,0.82,0.82,0.82,0.80,0.81,0.80,0.83,0.86,0.76,0.85,0.90,0.92,0.83
Kent And Medway ICB,2375263.00,2362352.00,2354063.00,2394776.00,2377265.00,2382684.00,2378940.00,2345535.00,2337675.00,2337675.00,2337675.00,2337675.00,181433.00,172577.00,162222.00,181619.00,165395.00,168422.00,198733.00,181430.00,161236.00,187413.00,194921.00,189626.00,0.92,0.88,0.88,0.84,0.84,0.85,0.92,0.94,0.88,0.93,1.06,0.98,0.92
Lancashire And South Cumbria ICB,2578951.00,2540409.00,2553538.00,2562199.00,2563735.00,2571987.00,2565615.00,2559471.00,2547417.00,2547417.00,2547417.00,2547417.00,192725.00,187007.00,175220.00,197581.00,183699.00,190527.00,216568.00,201907.00,177011.00,203735.00,215563.00,225851.00,0.90,0.89,0.87,0.85,0.87,0.90,0.93,0.95,0.88,0.92,1.07,1.07,0.93
"Leicester, Leicestershire And Rutland ICB",1625938.00,1620258.00,1612276.00,1618462.00,1618462.00,1604511.00,1612493.00,1612493.00,1541553.00,1541553.00,1541553.00,1541553.00,122302.00,120292.00,111302.00,122730.00,117605.00,117515.00,134870.00,121280.00,103395.00,127714.00,126866.00,125748.00,0.91,0.90,0.88,0.84,0.88,0.89,0.92,0.91,0.85,0.96,1.05,0.99,0.94
Lincolnshire ICB,1088999.00,1048957.00,1063315.00,1040315.00,1058315.00,1055815.00,1068744.00,1068744.00,1057856.00,1057856.00,1057856.00,1057856.00,56555.00,64218.00,62256.00,70285.00,62215.00,65987.00,73935.00,69313.00,58591.00,67384.00,69125.00,71201.00,0.63,0.74,0.74,0.75,0.71,0.76,0.76,0.78,0.70,0.74,0.83,0.81,0.75
Mid And South Essex ICB,1829058.00,1829071.00,1829071.00,1829071.00,1817087.00,1816604.00,1816604.00,1806719.00,1825512.00,1825512.00,1825512.00,1825512.00,148992.00,146630.00,134524.00,150886.00,136256.00,139516.00,161066.00,147196.00,129589.00,152053.00,155613.00,159711.00,0.99,0.97,0.93,0.91,0.91,0.93,0.98,0.99,0.90,0.96,1.08,1.06,0.97
Norfolk And Waveney ICB,1467750.00,1330825.00,1367141.00,1358501.00,1352733.00,1321361.00,1313481.00,1335952.00,1298660.00,1298660.00,1298660.00,1298660.00,62302.00,80521.00,76497.00,84552.00,74678.00,81104.00,91344.00,87561.00,69498.00,78310.00,79594.00,101128.00,0.51,0.73,0.71,0.69,0.67,0.74,0.77,0.79,0.68,0.70,0.78,0.94,0.75
North Central London ICB,1908836.00,1962310.00,1966897.00,1973889.00,1982087.00,1980820.00,1987786.00,1983238.00,1970304.00,1970304.00,1970304.00,1970304.00,153697.00,158981.00,149893.00,168521.00,142745.00,153665.00,172836.00,167505.00,153291.00,175590.00,188197.00,206508.00,0.97,0.98,0.97,0.94,0.87,0.94,0.96,1.02,0.99,1.03,1.21,1.27,1.01
North East And North Cumbria ICB,5172515.00,5176820.00,5157252.00,5097320.00,5096976.00,5077736.00,5032103.00,4995296.00,4959511.00,4959511.00,4959511.00,4959511.00,313402.00,311628.00,291325.00,336274.00,292072.00,317862.00,358752.00,334090.00,275674.00,327280.00,329680.00,350223.00,0.73,0.73,0.72,0.73,0.69,0.76,0.79,0.81,0.71,0.76,0.84,0.85,0.77
North East London ICB,2552538.00,2705228.00,2703058.00,2711464.00,2706422.00,2706651.00,2708822.00,2708522.00,2682962.00,2682962.00,2682962.00,2682962.00,208087.00,224994.00,213092.00,240802.00,209498.00,216669.00,247453.00,231226.00,211147.00,243575.00,259905.00,271318.00,0.99,1.01,1.00,0.98,0.94,0.97,1.01,1.03,1.00,1.05,1.23,1.22,1.04
North West London ICB,3081645.00,3225789.00,3231289.00,3234377.00,3236709.00,3236591.00,3236498.00,3234575.00,3151714.00,3151714.00,3151714.00,3151714.00,250548.00,264718.00,247938.00,282162.00,249456.00,252455.00,290238.00,277865.00,260415.00,296298.00,308860.00,338195.00,0.98,0.99,0.97,0.96,0.93,0.94,0.99,1.04,1.05,1.09,1.24,1.30,1.05
Northamptonshire ICB,993542.00,980280.00,990467.00,1008654.00,1005154.00,1023654.00,1008217.00,1019154.00,1015054.00,1015054.00,1015054.00,1015054.00,68474.00,65526.00,60025.00,70561.00,62959.00,66526.00,75736.00,67625.00,57573.00,64624.00,64858.00,62554.00,0.83,0.81,0.77,0.77,0.76,0.79,0.83,0.80,0.72,0.74,0.81,0.75,0.78
Nottingham And Nottinghamshire ICB,1923789.00,1878418.00,1878418.00,1875178.00,1875178.00,1875178.00,1875178.00,1894714.00,1884058.00,1884058.00,1884058.00,1884058.00,121614.00,126781.00,117596.00,133884.00,118723.00,126950.00,145047.00,132488.00,115131.00,139167.00,135630.00,138926.00,0.76,0.82,0.80,0.79,0.77,0.82,0.85,0.85,0.78,0.85,0.91,0.89,0.82
